title,year,rating,genres,description,director,url
3 Idiots,,8.4,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.",Rajkumar Hirani,https://www.imdb.com/title/tt1187043/
Joker,,8.3,"Crime, Drama, Thriller","Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",Todd Phillips,https://www.imdb.com/title/tt7286456/
Once Upon a Time in America,,8.3,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,https://www.imdb.com/title/tt0087843/
Capharnaüm,,8.4,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,https://www.imdb.com/title/tt8267604/
Singin&apos; in the Rain,,8.3,"Comedy, Musical, Romance",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen,https://www.imdb.com/title/tt0045152/
Hababam Sinifi: Sinifta Kaldi,,8.7,Comedy,A young and beautiful female teacher starts working in an all boys high school.,Ertem Egilmez,https://www.imdb.com/title/tt0252488/
Idi i smotri,,8.3,"Drama, Thriller, War","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,https://www.imdb.com/title/tt0091251/
Requiem for a Dream,,8.3,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,https://www.imdb.com/title/tt0180093/
Star Wars: Episode VI - Return of the Jedi,,8.3,"Action, Adventure, Fantasy","After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,https://www.imdb.com/title/tt0086190/
Toy Story 3,,8.3,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",Lee Unkrich,https://www.imdb.com/title/tt0435761/
Jagten,,8.3,Drama,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",Thomas Vinterberg,https://www.imdb.com/title/tt2106476/
Ikiru,,8.3,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,https://www.imdb.com/title/tt0044741/
Eternal Sunshine of the Spotless Mind,,8.3,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Michel Gondry,https://www.imdb.com/title/tt0338013/
2001: A Space Odyssey,,8.3,"Adventure, Sci-Fi","When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",Stanley Kubrick,https://www.imdb.com/title/tt0062622/
Reservoir Dogs,,8.3,"Crime, Thriller","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,https://www.imdb.com/title/tt0105236/
The Apartment,,8.3,"Comedy, Drama, Romance","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Billy Wilder,https://www.imdb.com/title/tt0053604/
Incendies,,8.3,"Drama, Mystery, War",Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,Denis Villeneuve,https://www.imdb.com/title/tt1255953/
Lawrence of Arabia,,8.3,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,https://www.imdb.com/title/tt0056172/
Scarface,,8.3,"Crime, Drama","In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",Brian De Palma,https://www.imdb.com/title/tt0086250/
Double Indemnity,,8.3,"Crime, Drama, Film-Noir","An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder,https://www.imdb.com/title/tt0036775/
Heat,,8.3,"Action, Crime, Drama",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,https://www.imdb.com/title/tt0113277/
North by Northwest,,8.3,"Adventure, Drama, Mystery","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,https://www.imdb.com/title/tt0053125/
Up,,8.3,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,https://www.imdb.com/title/tt1049413/
Citizen Kane,,8.3,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;",Orson Welles,https://www.imdb.com/title/tt0033467/
M - Eine Stadt sucht einen Mörder,,8.3,"Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,https://www.imdb.com/title/tt0022100/
Full Metal Jacket,,8.2,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,https://www.imdb.com/title/tt0093058/
Vertigo,,8.2,"Mystery, Romance, Thriller","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,https://www.imdb.com/title/tt0052357/
Le fabuleux destin d&apos;Amélie Poulain,,8.3,"Comedy, Romance","Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",Jean-Pierre Jeunet,https://www.imdb.com/title/tt0211915/
Jodaeiye Nader az Simin,,8.3,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.,Asghar Farhadi,https://www.imdb.com/title/tt1832382/
To Kill a Mockingbird,,8.3,"Crime, Drama",A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Robert Mulligan,https://www.imdb.com/title/tt0056592/
A Clockwork Orange,,8.2,"Crime, Sci-Fi",Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick,https://www.imdb.com/title/tt0066921/
Taare Zameen Par,,8.3,"Drama, Family",A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,Aamir Khan,https://www.imdb.com/title/tt0986264/
Die Hard,,8.2,"Action, Thriller",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade,,8.2,"Action, Adventure","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,https://www.imdb.com/title/tt0097576/
The Sting,,8.2,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,George Roy Hill,https://www.imdb.com/title/tt0070735/
Oppenheimer,,8.3,"Biography, Drama, History","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",Christopher Nolan,https://www.imdb.com/title/tt15398776/
Metropolis,,8.3,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,https://www.imdb.com/title/tt0017136/
Snatch,,8.2,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,https://www.imdb.com/title/tt0208092/
1917,,8.2,"Action, Drama, War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,https://www.imdb.com/title/tt8579674/
L.A. Confidential,,8.2,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,https://www.imdb.com/title/tt0119488/
Ladri di biciclette,,8.2,Drama,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,https://www.imdb.com/title/tt0040522/
Der Untergang,,8.2,"Biography, Drama, History","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,https://www.imdb.com/title/tt0363163/
Dangal,,8.3,"Action, Biography, Drama","Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Nitesh Tiwari,https://www.imdb.com/title/tt5074352/
The Wolf of Wall Street,,8.2,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,https://www.imdb.com/title/tt0993846/
Hamilton,,8.3,"Biography, Drama, History","The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,https://www.imdb.com/title/tt8503618/
Taxi Driver,,8.2,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,https://www.imdb.com/title/tt0075314/
Green Book,,8.2,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,https://www.imdb.com/title/tt6966692/
Batman Begins,,8.2,"Action, Crime, Drama","After witnessing his parents&apos; death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,https://www.imdb.com/title/tt0372784/
Per qualche dollaro in più,,8.2,"Drama, Western",Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,Sergio Leone,https://www.imdb.com/title/tt0059578/
The Truman Show,,8.2,"Comedy, Drama",An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,Peter Weir,https://www.imdb.com/title/tt0120382/
Judgment at Nuremberg,,8.3,"Drama, War","Fictionalized depiction of the 1947 Judges&apos; Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Stanley Kramer,https://www.imdb.com/title/tt0055031/
Some Like It Hot,,8.2,"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,https://www.imdb.com/title/tt0053291/
Shutter Island,,8.2,"Drama, Mystery, Thriller",Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Martin Scorsese,https://www.imdb.com/title/tt1130884/
The Kid,,8.2,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,https://www.imdb.com/title/tt0012349/
The Father,,8.2,"Drama, Mystery","A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,https://www.imdb.com/title/tt10272386/
All About Eve,,8.2,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,https://www.imdb.com/title/tt0042192/
Jurassic Park,,8.2,"Action, Adventure, Sci-Fi","An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger.",Steven Spielberg,https://www.imdb.com/title/tt0107290/
There Will Be Blood,,8.2,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,https://www.imdb.com/title/tt0469494/
The Sixth Sense,,8.2,"Drama, Mystery, Thriller","After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",M. Night Shyamalan,https://www.imdb.com/title/tt0167404/
Casino,,8.2,"Crime, Drama","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,https://www.imdb.com/title/tt0112641/
Ran,,8.2,"Action, Drama, War","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,https://www.imdb.com/title/tt0089881/
Top Gun: Maverick,,8.2,"Action, Drama","The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski,https://www.imdb.com/title/tt1745960/
No Country for Old Men,,8.2,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,Ethan Coen,https://www.imdb.com/title/tt0477348/
The Thing,,8.2,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,https://www.imdb.com/title/tt0084787/
El laberinto del fauno,,8.2,"Drama, Fantasy, War","In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she&apos;s a princess, but must prove her royalty by surviving three gruesome tasks.",Guillermo del Toro,https://www.imdb.com/title/tt0457430/
Unforgiven,,8.2,"Drama, Western",Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,Clint Eastwood,https://www.imdb.com/title/tt0105695/
A Beautiful Mind,,8.2,"Biography, Drama, Mystery","A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,https://www.imdb.com/title/tt0268978/
Kill Bill: Vol. 1,,8.2,"Action, Crime, Thriller","After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,https://www.imdb.com/title/tt0266697/
The Treasure of the Sierra Madre,,8.2,"Adventure, Drama, Western",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,https://www.imdb.com/title/tt0040897/
Prisoners,,8.2,"Crime, Drama, Mystery",A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,Denis Villeneuve,https://www.imdb.com/title/tt1392214/
Yôjinbô,,8.2,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,https://www.imdb.com/title/tt0055630/
Finding Nemo,,8.2,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,https://www.imdb.com/title/tt0266543/
Hauru no ugoku shiro,,8.2,"Animation, Adventure, Family","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,https://www.imdb.com/title/tt0347149/
The Great Escape,,8.2,"Adventure, Drama, Thriller","Allied officers in a German prisoner of war camp during World War II making a daring plan for a mass escape by hundreds of their men, hoping to draw German personnel and resources away from combat operations.",John Sturges,https://www.imdb.com/title/tt0057115/
Monty Python and the Holy Grail,,8.2,"Adventure, Comedy, Fantasy","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,https://www.imdb.com/title/tt0071853/
The Elephant Man,,8.2,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,https://www.imdb.com/title/tt0080678/
Dial M for Murder,,8.2,"Crime, Drama, Mystery","A London playboy plots the perfect murder of his rich, unfaithful Wife.",Alfred Hitchcock,https://www.imdb.com/title/tt0046912/
Klaus,,8.2,"Animation, Adventure, Comedy","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,https://www.imdb.com/title/tt4729430/
Gone with the Wind,,8.2,"Drama, Romance, War",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming,https://www.imdb.com/title/tt0031381/
Rashômon,,8.2,"Crime, Drama, Mystery","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter.",Akira Kurosawa,https://www.imdb.com/title/tt0042876/
Chinatown,,8.1,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,https://www.imdb.com/title/tt0071315/
El secreto de sus ojos,,8.2,"Drama, Mystery, Romance",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,https://www.imdb.com/title/tt1305806/
"Lock, Stock and Two Smoking Barrels",,8.1,"Comedy, Crime","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",Guy Ritchie,https://www.imdb.com/title/tt0120735/
